id,type,name,priority,summary,when,avoid,slots,exampleIds
hero/hero-photo-negative-space,hero,全面写真・余白抜き見出し型,1,画面高85–100vhを写真1枚で埋め、見出しは中央に置かず被写体の空いている側（左1/3、または左下）へ白抜きで流し込む。前提条件は写真選定で、「被写体が片側に寄り、反対側が抜けている」カットを選ぶ。抜けが足りない写真は、テキスト側の端が黒35%→被写体側で0になる横方向の線形グラデを重ねて可読性を作る（半透明のベタパネルは敷かない。写真が濁って一気に安くなる）。日本語見出しは縦組みが効く：右上起点で字送り、行間1.6em前後、字間0.1em。縦組みの脇に欧文タグラインや手書きスクリプトを直交方向に添えて視線をL字に折ると、写真の中に「文字の島」ができる。文字ブロックの外周は最低7vwの余白を確保し、被写体に一切かぶせない。ヘッダーは背景透過でロゴ左・ナビ右、CTAだけ1つ色ベタの矩形で浮かせて透過ヘッダーの中に硬い点をつくる。画面右端には縦組みのSCROLLか固定CTAタブを貼る。下端は次セクションの地色へ直角に切るか、波・大円弧で1回だけ切る（切るなら1回だけ。2回以上やると装飾に見える）。,主役になる写真が1枚あり、その1枚で世界観が伝わる / 情緒・空気感で引き込みたい / ブランド名や施設名の認知が先にある / 見出しが短く2行で収まる,見出しが3行以上／説明が必要 / 写真に抜けがなく被写体が中央にいる / 価格・実績・数字を最初に見せたい / 写真の解像度や色が弱い,背景写真1枚（片側が抜けた構図） / 見出し（縦組み可・2行まで） / 欧文/手書きのタグライン / ロゴ / ナビ / CTAボタン1つ / 縦組みSCROLL・固定タブ,buddies_s01 sho_seiha_s01 sho_peppy_s01 koran_s01
hero/hero-photo-card-cutin,hero,全面写真・白カード食い込み型,1,背景は全面写真（人物の顔が画面右2/3に来る構図）。その上に不透明の白い矩形カードを画面左端から食い込ませる。カードは幅35–42%、上下は画面高の中央60%に収め、角丸は0にして版面の硬さを出す。左マージンは0——カードが画面外から差し込まれているように見せるのが肝で、四辺に余白のある「浮いたカード」にすると凡庸になる。カード内は上から、色ベタの小ラベル＋日付/カテゴリ → 3行までの大見出し（clamp 20–30px、行間1.5、末尾は…で切ってよい） → 細い罫1本 → 肩書＋氏名 → #タグ列（10–11px）。画面下端には黒帯（高さ40–56px）を全幅で通し、キーワードを右→左へ無限マーキーで流す。帯の左端にはラベルを固定して帯の意味を示す。カードの下に前後矢印と「2 - 4」形式のインデックスを置けばそのままスライダー化でき、記事や人物を差し替えて回せる。右端に縦組みSCROLL。,記事・人物・事例を入口で見せて回したい / コンテンツが継続的に増える / 写真の質にばらつきがあり、文字側で品質を担保したい / キーワードで守備範囲の広さを見せたい,見せたい写真が1枚だけで邪魔したくない / コピーが一言だけ（カードがスカスカになる） / トーンが静か・上品（黒帯マーキーが強すぎる）,背景写真（差し替え前提） / カテゴリラベル / 日付 / 見出し3行 / 肩書＋氏名 / タグ列 / 下端マーキーの語群 / 前後矢印＋インデックス,odrive_s01
hero/hero-object-collage,hero,地に貼るコラージュ型,1,背景は写真ではなく地（白／淡色ベタ／クラフト紙などのテクスチャ）。写真は面を埋めるものではなく「貼られたオブジェクト」として置き、1枚ずつ違う形にマスクする（角丸長方形・円・楕円・アーチ・シール状の角丸カード）。リズムは2択。(a)散らし＝絶対配置で7〜12点、最大:最小=3:1、回転は±3度まで、画面中央に大きな余白の谷を作りそこへ見出しと手描き風の線画を置く。(b)整列＝角丸写真3枚を横一列（各幅26–30%、間隔2–3%）に並べ、-3/+2/-1度だけ振って手で置いた感じを出す。どちらも地とセクションの境界は直線で切らず、大きな円弧か有機的な波で1回だけ切って次の色へ渡す（linie型は下から白い大円弧で深緑を抜く）。余白には縦組みの小さな日本語、手描き線、円形バッジ（対象年齢・TARGET等、直径120–160px）を配して間を埋める。写真の縁は影を落とさず、地との差は形だけでつける。画面右端の縦組み固定タブ（資料請求・体験）と相性が良い。,素材が「良い瞬間の写真の集まり」 / 親しみ・手づくり感・こどもや地域の温度を出したい / ブランドカラーが2色以上ある / 1枚で強い写真がない,端正さ・信頼感が主題（士業・医療の一部） / 写真の背景がバラバラで色が濁る / 素材が3枚未満 / 文字情報が多く読ませたい,地（ベタ色／テクスチャ） / 写真3〜12枚（形違いのマスク） / 見出し / リード / 手描き線画・ロゴ / 円形バッジ（対象・数値） / 縦組み固定タブ / 境界の円弧／波,gakugei_s01 kase_s01 linie_s01
hero/hero-photo-mosaic,hero,写真タイル敷き詰め型,2,ヒーローを1枚の写真でなくタイルで埋める（隙間0か2px）。(a)均一＝同寸の小タイルを8〜10列×4〜5行、群れの量感を出す。(b)不均一＝大1枚＋中2枚＋小2〜3枚をグリッド分割で組み、1枚の絵に見せる。どちらも中央の帯（画面高の35%前後）だけ黒40–55%で落とし、そこへ見出しとリード3行を白抜きで置く。落とすのは矩形でなく上下がぼけた線形／楕円グラデにして、暗幕の外にタイルの端が見えるようにする（矩形で落とすと後付けの黒板に見える）。左上にキャンペーンの円形バッジ（直径120–160px、-8度程度で斜めに）、下中央に角丸ピルのCTA（幅280–360px）を重ねる。タイルの一部を動画にする、あるいは一定間隔で1枚ずつ差し替えると面が生きる。ヘッダーはこの型に限り白ベタで固定し、ざわついたタイル面と分離する。,人数・事例数・拠点数など「量」そのものが価値 / 良い写真が多数あるが単体で強いものがない / 賑わい・参加感を出したい,高級感・静けさを出したい / 素材が3枚以下 / 被写体の表情を1つ見せたい,写真タイル8〜40枚 / 見出し / リード3行 / 円形バッジ / CTAピル / 固定ヘッダー,tanq_s01 sho_atama_s01
hero/hero-type-watermark-mask,hero,巨大タイポ地紋・型抜き写真型,2,主役は背景に敷いた巨大な文字。ロゴタイプかブランド名の欧文を画面幅の100〜130%まで拡大し、地色との差を10–15%に落として（アウトライン線画、または不透明度15–25%のグラデ塗り）版面いっぱいに敷く。文字は画面外に切れてよく、むしろ両端を切ったほうが大きさが伝わる。その上に写真を「型」で抜いて重ねる。型はアーチ（上辺だけ半円）を基本に円・楕円も可。写真1枚を中央に大きく（幅55–65%、上辺アーチ・下辺直線）置けば静かで上品になり、5〜8枚を小さく散らせば賑やかになる。最前面に切り抜き被写体（人物・キャラクター）を1点だけ立てると、文字→写真→切り抜きの3層で奥行きが出る。地色はごく淡い1色（クリーム・淡ピンク）に限定し、写真の色数を制御する。ヘッダーは地に溶かし、CTAだけ円形ボタンで最前面に浮かせる。,ブランド名・施設名そのものを記憶させたい / 写真の点数が少ない / 上質さ・静けさ、または世界観の濃さを出したい / 採用・ブランドサイトの入口,訴求コピーが長い / 価格・実績を先に出す必要がある / ブランド名が長く字が組めない / 地色に対して写真が色数過多,巨大タイポ（ブランド名／英字1語） / 地色 / 型抜き写真1〜8枚 / 切り抜き被写体1点 / 見出し（短句） / 円形CTA,yugao_s01 sanrio_s01
hero/hero-split-utility-panel,hero,縦2分割・常設パネル型,2,画面を縦に割り、片側60–65%は全高の写真（またはスライダー）、もう片側35–40%は地色ベタのパネルにして、ロゴ・正式名称・住所/電話・CTA2つ・主要リンク一覧を上から積む。要点はパネルを「もう1つのグローバルナビ」として働かせること。リンクは9〜10行まで、中央揃え・行間2.2emで等間隔に流す。パネルの色は写真から拾った濃い1色（金・紺・深緑）、文字は白か生成り。CTAは2つだけにして白抜き＋濃ベタのように明度で対比させる。写真側は上下左右に地の余白を4–6%残して額装するか、完全に断ち落とすかを決め、中途半端にしない。写真の中央下にスライダーのドット、その下にSCROLL。ヘッダーはパネルの外に置かず中へ吸収し、ハンバーガーだけ右上に残す。nakamura型のように、パネルを写真の上に重なる白いカード列（アコーディオン式メニュー）として置く変形も同じ骨格。,入口が多い（学校・施設・複数事業） / 住所や電話を最初に出す必要がある / 回遊させたい／下層が深い / 写真は雰囲気づけで足りる,1つの行動だけさせたい単発LP / 写真1枚で情緒的に引きたい / リンクが4本以下でパネルがスカスカになる,全高写真／スライダー / パネル地色 / ロゴ＋正式名称 / 住所・電話 / CTA2つ / リンク一覧9〜10行 / スライダードット＋SCROLL,musashino_s01 nakamura_s01
hero/hero-type-only,hero,タイポ1点・写真なし型,3,ヒーローに写真を入れず文字だけで画をつくる。(a)極大＝画面幅いっぱい（左右余白4%）に1語だけを詰め、字面が切れる寸前まで大きくする（clamp 12–18vw、字間-0.02em）。背景には細い縦罫グリッド（8〜12本、1px、彩度の低い青やグレー）を全面に走らせ、文字はそれを踏み越えるベタ色で重ねる。ナビは細字で右上に小さく寄せ、CTAだけ文字と同色のピルにして画面内の色を2色に固定する。(b)静＝上下左右に大きく余白を取り、中央にロゴタイプ1点＋その上下に1行ずつ（タグライン／読み仮名）だけを置き、他は一切入れない。上の余白は画面高の35%以上。どちらも次セクションの1行目がファーストビュー下端にわずかに覗くようにしてスクロールを促す。,ブランド名や一語のコンセプトで殴りたい / 写真素材が弱い、または用意できない / コーポレート／採用の入口 / タイポグラフィで語れるロゴがある,何屋か分からないと離脱する新規向けLP / CVを直接取りにいくLP / 名前に説明力がない / 情報を積む必要がある,巨大文字1語／ロゴタイプ / タグライン1行 / 読み仮名・補足1行 / 背景グリッド線 / ナビ / CTAピル,unico_s01 steamstudio_s01
features/features-3col-icon-cards,features,3カラム・カード整列（番号バッジ／アイコン）,1,コンテナ max1100〜1200px、3等幅カラム、gap 24〜32px。カードは角丸16〜20px、内側パディング28〜32px。カード内の順序は「番号バッジ or 線アイコン(40〜56px)」→見出し2行以内(18〜20px/太)→本文2〜3行(14〜15px/行間1.8)→（任意）実績値1行 or 詳細リンク1行、で全カード固定。番号バッジは直径40〜48pxの円をカード上辺に半分かぶせて外へ出す（その分カード上パディングを+24px確保）。差別化は次の3つから【1つだけ】選ぶ:(a)カードごとに背景をパステルで塗り分ける（見出し色は共通のまま／色は3色まで）、(b)カード上辺にラベル帯を帽子のように乗せて上へはみ出させる、(c)詳細リンク行だけ白い角丸の箱に切り出してカード下端に固定し、行末に丸アイコンボタンを揃える。イラストや写真を使う場合はテキストを上半分に固め、絵はカード下端に沈めて左右いっぱいまでブリードさせる（絵の高さは揃えず、カード下辺で切る）。セクション見出しは中央寄せ、リード文との間24px、カード群との間56〜72px。カード群の直下に単独のピル型CTAを1つだけ中央置きしてブロックを閉じる。,特徴が3つで並列（優劣・順序に意味がない） / 各項目を1〜2行で言い切れる / 写真素材が弱く、アイコンやイラストで成立する,項目が4つ以上あり、かつ各項目の文量が多い / 1項目ごとに写真の説得力が必要 / 番号の順序（工程・段階）に意味がある,セクション見出し / リード文 / 番号またはアイコン×3 / カード見出し×3 / カード本文×3 / 実績値または詳細リンク×3 / CTAラベル,sho_gakken_s05 hanamaru_s06 sho_kimini_s09 sho_zkai_s05 meisei-es_s06 sho_kimini_s08
features/features-slab-number-photo,features,ベタ面＋巨大連番＋写真ずらし重ね（1項目1ブロック）,1,1項目=1ブロックを縦に反復し、左右を交互反転する。各ブロックは3レイヤー構造。(1)最背面=巨大連番：240〜360px、ブランド色の淡いトーンまたは白抜き、数字の一部をブロック外/画面外へ逃がす。数字のベースライン脇に VALUE / POINT などの小ラベルを11〜12px・letter-spacing 0.2emで添える。(2)中景=ブランド色のベタ角丸ブロック：高さ380〜460px、画面の片端まで裁ち落とし、逆側の角だけ32〜40pxの角丸。(3)前景=写真：角丸16〜24px＋白フチ8〜12px（または影）で、ベタ面から40〜80pxはみ出させて重ねる。見出しはベタ面の【外・上】に置いて面から飛び出させ、面と見出しを重ねない。本文は写真の下または反対側に420〜520px幅で置く。ブロック間の余白は96〜120px、地の背景は白のままにして色は面まわりだけに閉じ込める。写真上にラベルを載せるときはタブ型・吹き出し型・旗型にして写真の上辺か左上角に差し込み、写真の内側には文字を置かない。派生:人物の切り抜き写真の下端に円アイコン列（直径64〜72px・4連）や月桂冠バッジを半分かぶせ、要素を写真1枚の中に収める。,特徴が3〜4で、1つずつの主張が重い / 写真が強く、1枚で伝わる / ブランド色をページの主役として見せたい,写真が弱い／素材感が出る / 項目が5つ以上（同じ演出が反復して飽きる） / 1項目の本文が長く、面の中に収まらない,連番 / 小ラベル（VALUE/POINT/強み） / 見出し / 本文 / 写真 / タブ型ラベルまたはバッジ,sho_seiha_s08 sho_seiha_s07 sho_eikenacademy_s04 sho_eikenacademy_s05 sho_smilezemi_s11 sho_meiko_s04
features/features-alt-row-cards,features,横長カード縦積み・写真とテキストを1枚ごと左右反転,1,"背景に淡い色面（ブランド色5〜8%）を敷き、その上に白の角丸カード（角丸20〜24px、パディング24〜32px、影は薄く 0 2px 12px rgba(0,0,0,.06)）を24〜32px間隔で縦に積む。カード内は横2分割で、写真40〜45% / テキスト55〜60%、写真は角丸12〜16px。1枚ごとに写真とテキストの左右を入れ替える。テキスト側は「POINT n などの小ラベル→リード一言(13〜14px)→見出し2行(20〜24px・強調したい語だけブランド色)→CTAボタン」の順を全カードで固定し、ボタンの水平位置を全カードで揃える（カード高さは揃わなくてよいが、ボタンのx位置だけは揃える）。装飾はカードの輪郭に対するもの1種だけに限定する（四隅から飛び出すかぎ括弧線、角の色線など）。カード内部に飾りを足さない。カード群の直下で背景色を切り替え、次セクションの見出しを中央に置いて区切る。",特徴が4〜6で数が多い / 各項目に固有の写真がある / 各項目から個別の詳細ページへ送客したい,項目が3つ以下（縦に間延びする） / 写真が用意できない / 1項目の本文が5行以上必要,小ラベル／番号 / リード一言 / 見出し / 本文 / 写真 / CTAラベル,sho_peppy_s06 sho_peppy_s05 sho_smilezemi_s12 sho_atama_s05
