id,観点,名前,普通なら,ここでは,効く理由,CSS,使う場所,効き,手間,出典
color/accent-means-clickable,色,彩度のある色を「押せる場所」だけの合図にする,見出し・リード・アイコン・下線にもブランドカラーを散らす,白地＋黒文字＋細罫の中で赤(#e8342a)が出るのはロゴ・巨大タイポ・「お問い合わせ」ピルの3点だけ。ナビの他項目も見出しも本文も#111。写真をベージュ〜白木の低彩度で選んでいるので赤1点で視線の終点が決まる。フッターも暗い面に切り替えず淡ピンクのまま、エンジはスローガン／ロゴ／巨大英字の3点だけでリンクは黒。,「色が出た場所＝押す場所」という単純な規則になり、CTAを大きくしなくても導線が立つ,":root{--accent:#e8342a}
nav a,h1,h2,h3,p,footer a{color:#111;text-decoration:none}
.btn,.btn-contact{background:var(--accent);color:#fff;border-radius:999px;padding:10px 26px}
footer{background:#faf2f2}
footer .accent{color:#8e2b2b} /* スローガン・ロゴ・巨大英字だけ */",hero cta footer value,3,1,unico_s01 unico_s06 linie_s05 meisei-es_s16
color/accent-one-tiny-spot,色,有彩色を画面で最も小さい1点にだけ置く,ブランドカラーを見出し・タグ・日付・ボタンに散らして「らしさ」を出す,白黒グレーだけの画面で色が付いているのは、10pxの日付一行／70×16pxの「INTERVIEW」バッジ／見出し中の「人間力」3文字／高さ16pxのタグピル、のいずれか1つだけ。同じ列にある日付・カテゴリ・#タグは全部#8a8a8a前後のグレーに落としてある。2案の識別も、カード面・本文・罫は同じ無彩色のまま幅70pxのピル1個の色だけ（シアン／コーラル）で担う。,面積が小さいほど色は強く効くので、1点に絞ると「どこから読むか」が説明なしに決まる,":root{--accent:#e2231a}
.card h3,.card p{color:#1a1a1a}
.card .date,.card .cat,.card .tags{color:#8a8a8a}
.card .badge{background:var(--accent);color:#fff;font-size:9px;letter-spacing:.12em;padding:3px 8px;border-radius:0}
/* 文中1点だけ色を置く */
h3 em{font-style:normal;color:#b08d4a}
/* 2案の識別をピル1個に担わせる */
.card{background:#eef1f5;border:0;border-radius:14px}
.badge--a{background:#1eaede;color:#fff;border-radius:999px;padding:5px 14px;font-size:12px}
.badge--b{background:#f4525f}",features value voice member,3,1,odrive_s09 odrive_s05 odrive_s03 musashino_s12 lumiarch_s05 tanq_s08
color/gradient-field-no-shadow,色,背景を1枚のグラデにして、影と罫を地の色相の明度差で置き換える,背景は単色の淡いグレー、カードには drop-shadow、表の罫は黒〜グレー,セクション地は上#eaf4f7→下#6fa7baの縦グラデ1枚。カードは box-shadow を持たず、ほぼ白(#f4f9fb)との明度差だけで浮く。斜め版では「文字を置く左下＝白側／写真を置く右上＝濃い側」と場所ごとの明度を面を切らずに作り分ける。表の罫も黒でなく水色ヘアライン#a9dbe5、ヘッダ行と時刻列だけ淡ブルーのベタ。,影を使わないので画面が硬くならず、グラデの濃い側でカードのコントラストが勝手に上がる,"section{background:linear-gradient(180deg,#eaf4f7 0%,#6fa7ba 100%)}
section.diag{background:linear-gradient(200deg,#8ec7d9 0%,#cfe6ee 52%,#fbfdfd 100%)}
.card{background:#fff;border:0;box-shadow:none;border-radius:24px}
.tt{border-collapse:collapse} .tt td{border:1px solid #a9dbe5} .tt th,.tt .timecol{background:#dbeef4}
.arrow{width:34px;height:34px;border:1px solid #b9c9cf;border-radius:50%;background:none}",features value price access hero,3,1,kobe-wu_s04 kobe-wu_s05 sho_atama_s08
color/link-by-hue,色,引き出し線も番号も使わず、色の一致だけで対応をつくる,図と説明を線で結ぶ／①②③の番号を振る／ブロックごとに背景色の箱で囲む,右の説明3ブロックは囲みも区切り線も無く、見出し左に立つ4pxの縦バーの色が、左の図の対応する円の色（水色／紫／緑）と一致しているだけ。別例では見出し「Career Palette」に5色の横グラデを掛け、右のリスト各行末の直径14pxの丸にそのグラデから1色ずつ順に配って、見出しを色の出典にしている。,色だけで図と文章が対応するので、番号・引き出し線・囲みを全部省いても関係が読める,".block{--c:#3aa9dc}.block:nth-child(2){--c:#7b78bd}.block:nth-child(3){--c:#35bfae}
.block .head{border-left:4px solid var(--c);padding-left:12px}
.block h3{color:var(--c)} .block li::marker{color:var(--c)}
/* 見出しをパレットの出所にする */
h3{background:linear-gradient(90deg,#f5a04a,#ef7fa5,#9a86d8,#6fa8dc,#7fc9ae);-webkit-background-clip:text;background-clip:text;color:transparent}
.row:nth-child(1) .dot{background:#f5a04a}.row:nth-child(2) .dot{background:#ef7fa5}.row:nth-child(3) .dot{background:#9a86d8}",features value member,3,1,sho_kimini_s05 kobe-wu_s07
color/photo-carries-color,色,発色は被写体に任せ、UIは白と半透明白だけにする,背景色の上に黄・ピンク・水色などUI側の色を散らす／写真に黒スクリムを敷いて白文字を載せる,濃紫の面に対し彩度の高い黄緑は帯と落書きの2箇所だけ。見出し・本文・カード・再生ボタンは白か半透明の白で、残りの色味は人物の服（ピンク・水色・青）が担う。写真に文字を置く場面でもオーバーレイを敷かず、周辺減光した暗部にタイトルを置き、文字色は純白でなく写真の色温度に寄せたアイボリー(#f2e9dc)。,写真の階調が濁らず、文字が後乗せでなく写真の一部として馴染む。服の色が自然な差し色になるのでUI側は無彩色で足りる,":root{--accent:#6ee87a;--bg:#4b2ed6}
.card{background:rgba(255,255,255,.14);color:#fff;border:0}
.play{background:rgba(255,255,255,.35);backdrop-filter:blur(4px);border-radius:10px}
.hero-title{color:#f2e9dc;text-shadow:0 1px 12px rgba(0,0,0,.55)}
/* .hero::before のグラデーションスクリムは置かない */",hero voice features member,3,1,sho_novakid_s12 yugao_s07
color/rival-desaturated,色,比較の「よくない側／残り」に色を与えず、彩度の有無で結論を語る,自社を赤系・他社を青系のように2色で塗り分ける／円グラフの残りをグレーで塗る,自社側だけがティール(#0090a8)やピンク(#ff2d78)を持ち、他社列は見出しも本文も#9a9a9a で色相をひとつも持たない。棒グラフでは「増えた側」の棒・数値・軸ラベルの3箇所だけがティールで、開始値は#cdcdcf。円グラフの残り4.7%もグレーで塗らず白い欠けのまま12時に開けてある。,優劣や前後を文で言う前に彩度の有無が結論を伝えるので、凡例も「※当社比」の説明も要らなくなる,":root{--own:#0090a8;--dim:#cdcdcf}
.own,.after{color:var(--own)} .own .bar,.after .bar{background:var(--own)}
.rival,.before{color:#9a9a9a} .rival .title{color:#7d7d7d;font-weight:700}
.rival .bar,.before .bar{background:var(--dim)}
/* 残りは塗らない（欠けにする） */
.ring{width:300px;aspect-ratio:1;border-radius:50%;position:relative;background:conic-gradient(#f07800 0 95.3%,#fff 95.3% 100%)}
.ring::after{content:'';position:absolute;inset:26px;border-radius:50%;background:#f7f4ee}",value features price,3,1,sho_atama_s09 sho_globalcrown_s12 sho_kimini_s04 sho_smilezemi_s03
color/scatter-small-marks,色,色は面でなく、サイズ不揃いの小片にして境界と人物のまわりに散らす,ブランド色の帯やボタンで各セクションに色を入れる／装飾は同サイズのアイコンを等間隔に並べる,写真は素の色のまま、加えるのは1辺10〜16pxの三角（ピンク・黄・水色・緑・橙）を回転バラバラで斜め境界の交点付近に5〜8個だけ。別例では塗りのないピンク線の花・音符・二重丸を人物の周囲±30pxに5〜6個、金の四芒星を10/16/24/32pxの4サイズで四隅に散らし1つは写真の角に重ねる、直径70〜110pxの黒い正円を写真の裏に8つ（左右端は画面外で切る）。,色面を作らないので写真の情報量が落ちず、サイズを揃えないことで規則性が消えて紙吹雪や光の飛びとして読める,".mark{position:absolute}
.tri{width:0;height:0;border-left:8px solid transparent;border-right:8px solid transparent;border-bottom:13px solid #f43f5e;transform:rotate(28deg)}
.doodle{stroke:#f19cc4;stroke-width:1.5;fill:none} /* インラインSVG、人物のtop/left基準±30px */
.star{background:#c9a86a;clip-path:polygon(50% 0,58% 42%,100% 50%,58% 58%,50% 100%,42% 58%,0 50%,42% 42%)}
.star--s{width:10px;height:10px;opacity:.5}.star--l{width:32px;height:32px}
.dot{width:96px;height:96px;border-radius:50%;background:#0a0a0a;z-index:0}.dot--edge{left:-42px}",hero features voice value,3,1,tanq_s07 sho_hanamaru_s07 yugao_s13 yugao_s06
color/duotone-as-category,色,写真ごとに違う色を乗算で乗せ、色そのものを分類記号にする,写真はそのままの色で並べ、ホバー時だけ暗くする,タイル5枚に青緑／紫／緑／ピンク／オレンジを opacity .78 の乗算で重ね、写真の実色をほぼ消している。差し色を1点に使うのではなく、タイルの色が学部・カテゴリの識別子そのものになっている。,素材の質や色温度がバラバラな支給写真でも、同じ処理で1枚のグリッドに揃い、色が分類を兼ねる,".tile{position:relative;isolation:isolate;overflow:hidden}
.tile::after{content:"""";position:absolute;inset:0;mix-blend-mode:multiply;opacity:.78;background:linear-gradient(160deg,#8f5fd0,#b98fe0)}
.tile--b::after{background:linear-gradient(160deg,#2e8f8a,#5fb6ae)}
.tile--c::after{background:linear-gradient(160deg,#e0729a,#f0a3bd)}
.tile *{position:relative;z-index:1;color:#fff}",features value member,3,2,kobe-wu_s06
color/stroke-level-split,色,塗り分けの単位を文字でなく画（ストローク）にして、色から意味を抜く,見出しは1色に統一し、強調したい語だけ色を変える,タイル状に組んだ極太見出しを濃ピンク(#e58aa6)と明るいグレー(#dedede)の2色だけで塗るが、単位が文字でなく画なので同じ1文字の中に両色が同居する。どこが強調かを意図的に読めなくしてあり、見出しが模様に落ちて下の切り抜き写真が主役として立つ。,色が意味を担わないぶん見出しが「模様」に落ち、写真やコピーに主役を譲れる,".headline{background:#faf6ec;display:grid;grid-auto-flow:column;gap:4px;align-items:start}
.t{display:block;background:#dedede}
.t--pink{background:#e58aa6}
/* 画=矩形タイルに分解し、pink/gray を手で交互付与（random関数は使わない）。文字は<span class=""sr-only"">で別途持たせる */",hero features value,3,2,hanamaru_s04
color/cta-sink-same-hue,色,CTAを白抜きにせず、背景と同色相の一段明るい値で面に沈める,色面の上のボタンは白抜きか白フチにしてコントラストを最大化する,デュオトーンのオレンジ背景(#b8740f前後)の上に、最上部の帯とまったく同じ#f39801のベタ。明度差だけで押せる要素と分かる。文字は白、幅は本文カラムいっぱいに伸ばした角丸ピルで、視線の落とし先が一意になる。,同色相の明度差だけで押せると分かるため、面の統一感を壊さずに導線が立つ,".hero{background:#b8740f}
.btn{display:block;width:100%;background:#f39801;color:#fff;border:0;border-radius:999px;padding:15px;text-align:center;font-size:13px}
/* 背景とのL差は12〜18に留め、borderもshadowも付けない */",cta hero value,2,1,buddies_s10
